,player_id,hand,year_of_birth,ioc,height,wikidata_id,player_name
1675,201674,R,1994,UZB,174.0,Q4520541,Sabina Sharipova
1676,201675,R,1986,KOR,,,So Jung Kim
1677,201676,R,1987,KOR,,Q11753640,Ye Ra Lee
1678,201677,R,1986,KOR,,Q18638068,Mi Yoo
1679,201678,R,1990,AUS,,Q1616831,Sacha Jones
1680,201679,R,1989,THA,169.0,Q4124897,Varatchaya Wongteanchai
1681,201680,R,1987,GRE,,Q3557651,Anna Gerasimou
1682,201681,R,1983,THA,168.0,Q4919169,Suchanun Viratprasert
1683,201682,R,1987,THA,167.0,Q463729,Nudnida Luangnam
1684,201683,L,1991,PER,178.0,Q3948619,Bianca Botto
1685,201684,U,1985,COL,163.0,Q56697606,Paula Zabala
1686,201685,U,1990,UKR,170.0,,Kristina Antoniychuk
1687,201686,R,1991,MEX,,Q61163186,Alejandra Granillo
1688,201687,R,1991,MAR,,Q105904685,Lina Bennani
1689,201688,L,1986,FRA,,,Claire De Gubernatis
1690,201689,R,1987,POR,,Q6729630,Magali De Lattre
1691,201690,R,1985,RUS,178.0,,Nina Bratchikova
1692,201691,R,1987,BUL,168.0,Q1616850,Dia Evtimova
1693,201692,U,1989,SVK,,,Michaela Pochabova
1694,201693,R,1993,HUN,179.0,Q239765,Timea Babos
1695,201694,R,1993,CRO,163.0,Q3960779,Silvia Njiric
1696,201695,R,1991,SWE,165.0,Q4766880,Anna Brazhnikova
1697,201696,R,1988,GER,168.0,Q89128,Laura Siegemund
1698,201697,L,1992,CZE,184.0,Q289295,Kristyna Pliskova
