,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
307,Emma Laine,1.0,34.0,1.3333333333333333,24.666666666666668,3.1666666666666665,58.0,12,2006
308,Aiko Nakamura,1.75,35.5,1.75,24.0,5.0,59.0,20,2006
309,Alona Bondarenko,2.111111111111111,53.22222222222222,3.111111111111111,33.333333333333336,9.777777777777779,59.0,13,2006
310,Aravane Rezai,0.0,41.0,3.0,25.0,3.0,60.0,7,2006
311,Tathiana Garbin,4.666666666666667,44.0,1.6666666666666667,27.666666666666668,6.666666666666667,62.0,7,2006
312,Virginia Ruano Pascual,0.0,46.5,0.0,30.0,6.0,63.0,7,2006
313,Anastasia Yakimova,1.0,42.0,2.0,29.0,6.0,63.0,2,2006
314,Jarmila Gajdosova,,,,,,65.0,5,2006
315,Martina Sucha,1.5,35.0,2.0,21.0,5.0,65.0,9,2006
316,Karolina Sprem,3.0,36.0,3.0,24.0,7.0,66.0,2,2006
317,Maria Sanchez Lorenzo,6.333333333333333,42.333333333333336,5.0,31.666666666666668,8.666666666666666,66.0,5,2006
318,Ekaterina Bychkova,4.0,24.0,2.0,16.5,6.5,67.0,7,2006
319,Lisa Raymond,4.0,41.666666666666664,4.333333333333333,31.333333333333332,5.666666666666667,68.0,4,2006
320,Yoon Jeong Cho,,,,,,73.0,5,2006
321,Yuliana Fedak,,,,,,73.0,1,2006
322,Mariana Diaz Oliva,3.0,32.0,3.0,23.0,3.0,74.0,1,2006
323,Tsvetana Pironkova,0.3333333333333333,45.0,1.0,27.333333333333332,6.333333333333333,75.0,7,2006
324,Maria Vento Kabchi,1.0,19.0,2.0,17.0,3.0,76.0,4,2006
325,Mashona Washington,5.0,38.5,3.5,27.5,4.5,76.0,3,2006
326,Maret Ani,3.3333333333333335,46.666666666666664,3.6666666666666665,32.333333333333336,6.333333333333333,77.0,4,2006
327,Ashley Harkleroad,1.5,33.0,3.0,23.0,3.5,78.0,4,2006
328,Stephanie Foretz Gacon,3.0,56.5,5.0,35.5,12.5,78.0,3,2006
329,Kristina Brandi,,,,,,78.0,3,2006
330,Nicole Pratt,,,,,,79.0,2,2006
331,Zuzana Ondraskova,2.0,46.5,2.5,28.0,8.5,79.0,2,2006
332,Kaia Kanepi,,,,,,83.0,8,2006
333,Anastasia Rodionova,,,,,,83.0,6,2006
334,Melinda Czink,,,,,,84.0,4,2006
335,Viktoria Kutuzova,2.5,27.0,3.0,21.0,2.5,86.0,2,2006
336,Zi Yan,2.0,59.0,4.0,34.0,12.0,88.0,1,2006
337,Vasilisa Bardina,1.0,34.0,2.0,26.0,6.0,88.0,2,2006
338,Camille Pin,,,,,,90.0,3,2006
339,Meilen Tu,0.0,45.0,5.0,28.0,6.0,91.0,1,2006
340,Hana Sromova,1.0,7.0,1.0,6.0,2.0,92.0,1,2006
341,Galina Voskoboeva,,,,,,93.0,1,2006
342,Tian Tian Sun,,,,,,94.0,1,2006
343,Tamarine Tanasugarn,,,,,,97.0,4,2006
344,Yuliya Beygelzimer,,,,,,97.0,1,2006
345,Emmanuelle Gagliardi,2.0,31.0,3.0,19.0,4.0,98.0,1,2006
346,Eva Birnerova,,,,,,99.0,1,2006
347,Meng Yuan,0.0,54.0,0.0,35.0,14.0,99.0,1,2006
348,Justine Henin,2.7222222222222223,35.416666666666664,3.861111111111111,25.305555555555557,5.694444444444445,1.0,38,2007
