,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
314,Jelena Kostanic Tosic,2.0,45.5,3.75,26.75,12.0,44.0,14,2006
315,Elena Vesnina,2.375,42.25,5.875,23.625,11.625,44.0,13,2006
316,Maria Elena Camerin,1.0,47.166666666666664,4.333333333333333,25.666666666666668,11.5,45.0,12,2006
317,Akiko Morigami,0.6666666666666666,21.0,0.3333333333333333,10.0,6.0,45.0,9,2006
318,Nuria Llagostera Vives,1.0,23.5,2.5,13.0,4.5,45.0,5,2006
319,Amy Frazier,1.0,34.666666666666664,7.333333333333333,17.833333333333332,8.166666666666666,46.0,10,2006
320,Jamea Jackson,0.25,40.0,3.75,20.75,10.0,47.0,14,2006
321,Romina Oprandi,,,,,,48.0,3,2006
322,Jill Craybas,0.8,40.6,2.0,20.4,11.6,48.0,16,2006
323,Laura Granville,1.4285714285714286,44.857142857142854,2.7142857142857144,26.285714285714285,11.571428571428571,48.0,10,2006
324,Olga Puchkova,,,,,,49.0,5,2006
325,Emma Laine,1.3333333333333333,36.666666666666664,3.6666666666666665,20.5,9.166666666666666,50.0,15,2006
326,Karolina Sprem,2.4,37.4,6.2,23.0,10.8,50.0,10,2006
327,Mariana Diaz Oliva,1.0,53.0,2.6666666666666665,30.333333333333332,13.666666666666666,50.0,5,2006
328,Emilie Loit,3.0,47.5,3.5,26.0,10.0,50.0,8,2006
329,Anastasia Yakimova,0.0,36.5,2.0,20.0,7.0,52.0,5,2006
330,Vania King,1.0,36.0,1.0,14.0,12.0,53.0,7,2006
331,Evgenia Linetskaya,0.0,12.0,8.0,2.0,8.0,54.0,3,2006
332,Agnieszka Radwanska,0.5,39.5,2.5,21.0,13.5,54.0,3,2006
